"id","commissions"
3867,"4;35"
4049,"5;536"
4053,"10;32"
1131,"9;8"
4107,"11;940"
4090,"2;30;11"
1288,"1;12;9;940"
1135,"1;10;707"
4058,"7"
4138,"12"
1138,"11;7"
350,"3;34;971;975;976;1011"
4102,"10"
15,"3;9;971;976;333"
4030,"10"
4050,"3"
26,"6;8"
28,"6;8"
3872,"7"
4067,"12;11;940"
307,"7;712"
4025,"1;29;4;940;712"
1104,"1;8;3;582"
453,"11;31;34;710"
4101,"29;5"
4086,"7;30"
4070,"9"
3830,"2;30;6;28"
4075,"29;3;10;1"
3828,"30;6;33;32"
4108,"12;5"
4007,"7;940;707"
4135,"6"
1133,"10;710"
1124,"10"
4051,"6"
4079,"5;710;34"
4110,"10"
3875,"3;8;971;974;976;1011;76"
3876,"1;4;3"
4056,"7;940"
405,"6;29;4"
319,"11;8"
4077,"2"
4069,"30;3;997;975"
3877,"4;31"
4089,"2;8;997"
4059,"12;8;536"
3878,"10;940"
1122,"11;9"
3879,"9;333"
4042,"6;536"
1127,""
4074,"8;710"
4131,"4;712;709"
1125,"8;5;582"
4071,"2"
4104,"9"
3880,"3;8"
1117,"10"
91,"9"
3881,"6;2"
3882,"7"
1337,"3;8;35;971;976"
4093,"11;29;1"
4096,"2;997"
4137,"8"
4116,"2;30;536;940;997"
3884,"3"
806,"5;3"
1295,"1;9;8"
3885,"2;5;940;34"
97,"11;31;940"
4083,"9"
3886,"3;7"
4087,"2;28"
4082,"12;536"
4121,"2;997"
4076,"2;333"
4061,"9"
473,"10"
4103,"2"
3887,"3;940;997;31"
1156,"11;6"
4129,"5"
4094,"6"
3888,"3;8;35;997"
1103,"1;9;12"
1071,"11;6;29"
3890,"9;8;582"
4031,"6"
4032,"7;10"
478,"11;3;971;975;976"
1293,"4"
3891,"12;2"
4098,"5;30"
4081,"3"
1147,"12;2;33;35"
3892,"9;7"
4114,"7"
4008,"11;9"
4099,"9"
1065,"3;11;997;76"
487,"12;10;709;712;536"
4118,"6;30"
3895,"12;4;940"
490,"3;333;971;976;1011"
4136,"9"
4117,"10"
4018,"5;10;32"
1139,"12;29;4;1;708;27"
3923,"10;940;711"
4130,"11"
4144,"10"
494,"10;33;712;709"
4140,"12;711"
151,"2"
4147,"7;1"
1346,"11;6"
542,"4;5;940"
3897,"1;4"
4097,"2"
1137,"4;8;712;709"
1141,"11;10"
1112,"4"
1345,"2;29;12;709;333"
4063,"7"
4134,"5"
1111,"7;5;33"
4106,"4;707"
498,"4;5;30;34"
3898,"12;536;710"
1279,"7;9"
1153,"10"
3899,"4;7;32"
4073,"11"
4045,"10;711"
1108,"7;6"
3900,"8"
4084,"6"
1109,"11;4;31;940"
4065,"5"
4109,"29;9"
4141,"5"
4066,"5;4;1;997"
4046,"9;30;711"
4072,"9;30;940"
3901,"12;29;536;709"
173,"29;4;31;707"
4091,"5"
3902,"12;9"
502,"4;5;707;711;32"
1119,"10;32"
4052,"1;10"
4120,"11;30;8"
504,"3;6;1;27;708"
4100,"7"
4143,"12"
4048,"4;30;711"
4125,"11"
4095,"9"
1318,"10"
1129,"11;6;940"
820,"2"
4124,"7"
4122,"8"
3904,"6;536"
4060,"2;11;707"
4123,"12"
4040,"4;5;31"
4115,"29;12"
1159,"12;2;536;997;28"
354,"7"
4146,"2"
1120,"4;536;1033"
514,"5;6;1;27;708"
214,"12;4"
3865,"6;5"
4126,"6"
4036,"11;3"
3907,"7"
4113,"4;30;34;710"
4128,"8;5"
224,"3"
3829,"3;1;11;940;333"
3924,"6;8"
1123,"3;1011;76;33"
1110,"2;12;536"
4054,"2"
4085,"12;7"
3908,""
3910,"3;8"
3911,"1;8;31"
519,"10"
4142,"9"
3912,"7;5"
3931,"6;5"
4057,"2;974"
4148,"8"
1142,"7;9"
