id,sort,title-de,title-en,title-fr,title-it,title-ro
4,10,Wirtschaft,Economy,Economie,Economia,Economia
9,20,Finanzen,Finance,Finances,Finanza,Finanzas
10,30,Gesundheit,Health,Santé,Sanità,Sanadad
16,40,Recht,Law,Droit,Diritto,Dretg
20,50,Soziales,Social,Social,Sociale,Social
13,60,Institutionen,Institutions,Institutions,Istituzioni,Instituziuns
21,70,Transport,Transport,Transports,Trasporti,Transport
1,80,Landwirtschaft,Agriculture,Agriculture,Agricoltura,Agricultura
6,90,Energie,Energy,Energie,Energia,Energia
7,100,Umwelt,Environment,Environnement,Ambiente,Ambient
19,110,Sicherheit,Security,Sécurité,Sicurezza,Segirtad
2,120,Kommunikation,Communication,Communication,Comunicazioni,Communicaziun
12,130,Migration,Immigration,Immigration,Immigrazione,Immigraziun
5,140,Bildung,Education,Education,Educazione,Educaziun
15,150,Raumplanung,Land use,Aménagement du territoire,Territorio,Territori
3,160,Kultur,Culture,Culture,Cultura,Cultura
14,170,International,International,International,Internazionale,Internaziunal
11,180,Krankenversicherung,Health insurance,Assurance-maladie,Assicurazione malattia,Assicuranza da malsauns
17,190,Parlament,Parliament,Parlement,Parlamento,Parlament
8,200,Europa,Europe,Europe,Europa,Europa
18,210,Wissenschaft,Science,Sciences,Scienza,Scienza
