id,title-de,title-en,title-fr,title-it,title-ro
1,Landwirt,Farmer,Agriculteur/trice,Agricoltore/trice,Pur(a)
2,Agronom,Agronomist,Agronome,Agronomo/a,Pur(a) diplomà/diplomada
3,"Architekt(in), Bauleiter(in)",Architect,"Architecte, maître d'ouvrage","Architetto/a, impresario/a","Architect(a), patrun(a) da construcziun"
4,"Rechtsanwalt/-wältin, Jurist(in), Notar(in)",Lawyer,"Avocat(e), juriste, notaire","Avvocato/a, giurista, notaio/a","Advocat(a), jurist(a), notar(a)"
5,"Banker(in), Treuhänder(in), Buchhalter(in)","Banker, bookkeeper","Banquier(e), fiduciaire, comptable","Banchiere/a, fiduciario/a, contabile","Banchier(a), fiduziari(a), contabilist(a)"
6,Unternehmer(in),Business manager,Chef(fe) d'entreprise,Imprenditore/trice,Interprendider / interprendidra
7,Projektleiter(in),Project manager,Chef(fe) de projet,Capo/a progetto,Mainaproject
8,Mitinhaber Brauerei,Co-owner of a brewery,Co-propriétaire de brasserie,Comproprietario/a birreria,Co-proprietari(a) da brassaria
9,Berater(in),Consultant,Consultant(e),Consulente,Cussegliader / cussegliadra
10,Versicherungsbroker(in),Insurance broker,Courtier(e) en assurances,Broker assicurativo,Broker d'assicuranza
11,Kriminologe,Criminologist,Criminologue,Criminologo/a,Criminolog(a)
12,Leiter Krankenversicherung,Head of a health insurance company,Directeur caisse-maladie,Direttore di cassa malati,Manader da cassa da malsauns
13,Leiter einer Immobilienagentur,Head of a real estate agency,Directeur d'agence immobilière,Direttore d'agenzia immobiliare,Manader d'ina agentura d'immobiglias
14,Leiter ADEV,Head of ADEV,Directeur de l'ADEV,Direttore dell'ADEV,Manader da l'ADEV
15,Direktor des Schweizerischen Bauernverbands,Head of the Swiss Farmers' Association,Directeur de l'Union Suisse des Paysans,Direttore dell'Unione svizzera dei contadini,Manader da l'associaziun da purs
16,Leiter der Chambre vaudoise immobilière,Head of the Vaud Real Estate Association,Directeur de la Chambre vaudoise immobilière,Direttore della Camera immobiliare vodese,Manader da la Chambre vaudoise immobilière
17,Verkaufsleiter,Sales director,Directeur des ventes,Direttore vendite,Manader da la vendita
18,Leiterin Kieferorthopädiezentrum,Head of an orthodontic clinic,Directrice d'un centre d'orthodontie,Direttrice di un centro d'ortodonzia,Manader d'in center d'ortopedia da la missella
19,Direktorin Pro Familia Schweiz,Head of Pro Familia Switzerland,Directrice de Pro Familia Suisse,Direttrice di Pro Familia Svizzera,Manadra da la Pro Familia Svizra
20,Ökonom(in),Economist,Economiste,Economo/a,Econom(a)
21,Kaufmännische(r) Angestelle(r),Commercial employee,Employé(e) de commerce,Impiegato/a di commercio,Emploià(da) mercantil(a)
22,Lehrer(in),Teacher,Enseignant(e),Insegnante,Scolast(a)
23,Partner Relation Manager,Partner relations manager,Gestionnaire des relations partenaires,Gestore/trice delle relazioni con i partner,Gestiunari da relaziuns partenarias
24,Selbständig,Freelancer,Indépendant(e),Indipendente,Independent(a)
25,Informatiker(in),Computer scientist,Informaticien(ne),Informatico/a,Informaticher / informaticra
26,Agro-Ingenieur(in),Agricultural engineer,Ingénieur agronome,Ingegnere agronomo,Pur diplomà
27,Wirtschaftsingenieur(in),Commercial engineer,Ingénieur commercial,Ingenere in economia,Inschignier(a) d'economia
28,Ingenieur(in),Engineer,Ingénieur(e),Ingegnere,Inschignier(a)
29,"Journalist(in), Autor(in)","Journalist, author","Journaliste, auteur(e)","Giornalista, autore/trice","Schurnalist(a), autur(a)"
30,Kaufmann/Kauffrau,Merchant,Commerçant(e),Commerciante,Commerciant(a)
31,Verwaltungsratsmitglied,Member of board of directors,Membre de conseil d'administration,Membro di consiglio d'amministrazione,Commember dal cussegl d'administraziun
32,Vorstandsmitglied Schweizer Obstverband,Member of board Swissfruit,Membre du comité directeur de Swissfruit,Amministratore d'Associazione Svizzera Frutta,Commember da la suprastanza da l'Uniun da pumicultura svizra
33,Schreiner,Carpenter,Menuisier,Falegname,Scrinari
34,Arzt/Ärztin,Doctor,Médecin,Medico/a,Medi(a)
35,Mediator(in),Mediator,Médiateur/trice,Mediatore/trice,Mediatur(a)
36,Keine Angaben,No information available,Pas d'information,Senza indicazione,Naginas indicaziuns
37,Linienpilot,Commercial airline pilot,Pilote de ligne,Pilota di linea,Pilot da lingia
38,Polizist(in),Police officer,"Policier(e), gendarme",Poliziotto/a,"Policist(a), schandarm"
39,Berufspolitiker(in),Career politician,Politicien(ne) de métier,Politico/a professionista,Politicher / politicra da professiun
40,Fürsprecher,Spokesperson,Porte-parole,Portavoce,Intercessur(a)
41,Immobilienhändler(in),Estate agent,Promoteur immobilier,Promotore/trice immobiliare,Directur per la promoziun d'immobiglias
42,Unternehmer(in),Entrepreneur,Propriétaire centre équestre,Titolare d'azienda,Interprendider / interprendidra
43,Inhaberin Büro für Umweltfragen NATUME,Head of consultancy NATUME,Propriétaire de l'agence NATUME,Titolare dell'agenzia di consulenza ambientale NATUME,Possessura d'in biro per dumondas da l'ambient
44,Präsidentin der Schweizerischen Stiftung SPO Patientenschutz,President of the Swiss Patients' Organisation,Présidente de l'organisation suisse des patients,Presidente Organizzazione svizzera dei pazienti SPO,Presidenta da la fundaziun svizra per la protecziun da pazients
45,Kommunikationsbeauftragte,Communications head,"Responsable communication, RP",Responsabile comunicazione,Incumbensada per communicaziun
46,Rentner(in),Retiree,Retraité(e),Pensionato/a,Rentier(a)
47,Erziehungswissenschafterin,Education researcher,Science de l'éducation,Pedagogista,Scienziada d'educaziun
