"id","title.de","title.en","title.fr","title.it","title.ro"
4,"Aussenpolitische Kommission NR","National Council Foreign Affairs Committee ","Commission de politique extérieure CN","Commissione della politica estera CN","Cumissiun da la politica exteriura CN"
35,"Delegation bei der parlamentarischen Versammlung der OSZE","Delegation to the Parliamentary Assembly of the OSCE","Délégation auprès de l'Assemblée parlementaire de l'OSCE","Assemblea parlamentare dell'OSCE","Delegaziun Assamblea parlamentara da l'OSCE"
5,"Kommission für Wissenschaft, Bildung und Kultur NR","National Council Committees for Science, Education and Culture ","Commission de la science, de l'éducation et de la culture CN","Commissione della scienza, dell'educazione e della cultura CN","Cumissiun da scienza, furmaziun e cultura CN"
536,"Gerichtskommission ","Judicial Committee ","Commission judiciaire","Commissione giudiziaria","Cumissiun da la dretgira"
10,"Kommission für Wirtschaft und Abgaben NR","National Council Committees for Economic Affairs and Taxation ","Commission de l'économie et des redevances CN","Commissione dell'economia e dei tributi CN","Cumissiun d' economia e taxas"
32,"Delegation EFTA / Europäisches Parlament-V","EFTA Delegation/European Parliament-V","Délégation AELE / Parlement européen-V","Delegazione Associazione europea libero scambio/Parlamento europeo","Delegaziun AECL/Parlamet european-V"
9,"Kommission für Verkehr und Fernmeldewesen NR","National Council Committees on Transportation and Telecommunications ","Commission des transports et des télécommunications CN","Commissione dei transporti e delle telecomunicazioni CN","Cumissiun da transport e telecommunicaziun CN"
8,"Sicherheitspolitische Kommission NR","National Council Defence Committees ","Commission de la politique de sécurité CN","Commissione della politica di sicurezza CN","Cumissiun da la politica da segirezza CN"
11,"Staatspolitische Kommission NR","National Council Political Institutions Committees ","Commission des institutions politiques CN","Commissione delle istituzioni politiche CN","Cumissiun da las instituziuns politicas CN"
940,"Immunitätskommission NR","National Council  Immunity Committee ","Commission de l'immunité CN","Commissione dell'immunità CN","Cumissiun da l'immunitad CN"
2,"Finanzkommission NR","National Council Finance Committees ","Commission des finances CN","Commissione delle finanze CN","Cumissiun da finanzas CN"
30,"Redaktionskommission","Drafting Committee ","Commission de rédaction","Commissione di redazione","Cumissiun da redacziun"
1,"Büro NR","Office of the National Council","Bureau CN","Ufficio CN","Uffici CN"
12,"Kommission für Rechtsfragen NR","National Council Committees for Legal Affairs ","Commission des affaires juridiques CN","Commissione degli affari giuridici CN","Cumissiun da dumondas giuridicas CN"
707,"Delegation für die Beziehungen zum Deutschen Bundestag","Delegation to maintain relations with the German Bundestag","Délégation pour les relations avec le Bundestag","Delegazione per le relazioni con il Bundestag","Delegaziun per las relaziuns cun il Bundestag"
7,"Kommission für Umwelt, Raumplanung und Energie NR","National Council Committees for the Environment, Spatial Planning and Energy ","Commission de l'environnement, de l'aménagement du territoire et de l'énergie CN","Commissione dell'ambiente, della pianificazione del territorio e dell'energia CN","Cumissiun da l'ambient, planisaziun dal territori ed energia CN"
3,"Geschäftsprüfungskommission NR","National Council Control Committees","Commission de gestion CN","Commissione della gestione CN","Cumissiun da gestiun CN"
34,"Delegation bei der parlamentarischen Versammlung der Frankophonie","Parliamentary Assembly of the Francophonie","Délégation auprès de l'Assemblée parlementaire de la Francophonie","Assemblea parlamentare della francofonia","Delegaziun Assamblea parlamentara da la Francofonia "
971,"Koordinationsgruppe der Geschäftsprüfungskommissionen","Coordinating group of the control committees","Groupe de coordination des Commissions de gestion","Gruppo di coordinazione delle Commissioni della gestione","Gruppa da coordinaziun da la Cumissiun da gestiun"
975,"Arbeitsgruppe Risikoreporting Bundesrat der Geschäftsprüfungskommissionen","Working group of the control committees on governmental risk reporting","Groupe de travail Reporting sur les riques Conseil fédéral des Commissions de gestion","Gruppo di lavoro CdG Reporting sui rischi Consiglio federale","Gruppa da lavur Reporting da ristg Cussegl federal da la Cumissiun da gestiun"
976,"Arbeitsgruppe SNB der Geschäftsprüfungskommissionen","Working group Swiss National Bank of the control committees","Groupe de travail BNS des Commissions de gestion","Gruppo di lavoro CdG Banca nazionale","Gruppa da lavur BNS da las Cumissiuns da gestiun"
1011,"GPK-NS Agr Finanzmarktaufsicht","Working group Financial Market Supervisory Authority","CdG-NE Gdt Surveillance des marchés financiers","Gruppo di lavoro CdG Vigilanza sui mercati finanziari","CdG-NE Surveglianza dal martgà da finanzas"
333,"Neat-Aufsichtsdelegation","Delegation for the Supervision of the New Railway Lines under the Alps","Délégation de surveillance des NLFA","Delegazione di vigilanza della NFTA","Delegaziun da surveglianza NVTA"
6,"Kommission für soziale Sicherheit und Gesundheit NR","Committees for Social Security and Health","Commission de la sécurité sociale et de la santé publique CN","Commissione della sicurezza sociale e della sanità","Cumissiun da la segirezza sociala e sanadad CN"
712,"Delegation für die Beziehungen zum Landtag des Fürstentums Liechtenstein","Delegation to maintain relations with the Landtag of Liechtenstein","Délégation pour les relations avec le Landtag du Liechtenstein","Delegazione per le relazioni con il Landtag del Principato del Liechtenstein","Delegaziun per las relaziuns cun il Landtag dal Liechtenstein"
29,"Begnadigungskommission","Committee on Pardons","Commission des grâces","Commissione delle grazie","Cumissiun da grazia"
582,"Delegation bei der parlamentarischen Versammlung des nordatlantischen Verteidigungsbündnisses (NATO)","Delegation at the NATO parliamentary assembly ","Délégation auprès de l'Assemblée parlementaire de l'OTAN","Delegazione parlamentare svizzera presso l'Asssemblea parlamentare NATO","Delegaziun Assamblea parlamentara da la NATO"
31,"Delegation beim Europarat","Delegation to the Parliamentary Assembly of the Council of Europe","Délégation auprès du Conseil de l'Europe","Assemblea parlamentare del Consiglio d'Europa","Delegaziun tar il Cussegl da l'Europa"
710,"Delegation für die Beziehungen zum Französischen Parlament","Delegation to maintain relations with the French Parliament","Délégation pour les relations avec le Parlement français","Delegazione per le relazioni con il Parlamento francese","Delegaziun per las relaziuns cun il Parlament franzos"
28,"Finanzdelegation","The Finance Delegation ","Délégation des finances","Delegazione delle finanze","Delegaziun da finanzas"
33,"Delegation bei der Interparlamentarischen Union","Delegation at the Interparliamentary Union","Délégation auprès de l'Union interparlementaire","Delegazione presso l'Unione interparlamentare","Delegaziun Uniun interparlamentara"
974,"Arbeitsgruppe Oberaufsicht Gerichte der Geschäftsprüfungskommissionen","Working Group ","Groupe de travail Haute surveillance sur les Tribunaux des Commissions de gestion","Gruppo di lavoro CdG Alta vigilanza sui tribunali","Gruppa da lavur surveglianza suprema dals Tribunals da las Cumissiuns da gestiun"
76,"Geschäftsprüfungsdelegation","The Control Delegation","Délégation des commissions de gestion","Delegazione delle Commissioni della gestione","Delegaziun da la Cumissiun da gestiun"
997,"Arbeitsgruppe Insieme der Geschäftsprüfungskommissionen und der Finanzkommissionen","Joint working groupe Insieme","Groupe de travail Insieme des Commissions de gestion et des Commissions des finances","Gruppo di lavoro Insieme delle Commissioni delle finanze e delle Commissioni della gestione","Gruppa da lavur Insieme da la Cumissiun  da gestiun e Cumissiuns da finanzas"
709,"Delegation für die Beziehungen zum Österreichischen Parlament","Delegation to maintain relations with the Austrian Parliament","Délégation pour les relations avec le Parlement autrichien","Delegazione per le relazioni con il Parlamento austriaco","Delegaziun per relaziuns cun il Parlament austriac"
708,"Büro Vereinigte Bundesversammlung","Office of the United Federal Assembly","Bureau Assemblée fédérale","Ufficio Assemblea federale","Uffici Assamblea federala"
27,"Verwaltungsdelegation","The Administration Committee","Délégation administrative","Delegazione amministrativa","Delegaziun administrativa"
711,"Delegation für die Beziehungen zum Italienischen Parlament","Delegation to maintain relations with the Italian Parliament","Délégation pour les relations avec le Parlement italien","Delegazione per le relazioni con il Parlamento italiano","Delegaziun per relaziuns cun il Parlament talian"
1033,"Ad-hoc Reise","Ad-hoc trip","Voyage ad-hoc","Viaggi ad-hoc","Viadi ad-hoc"
