"id","title.de","title.en","title.fr","title.it","title.ro"
8,"Karitatives, Soziales","Charitable, social","Caritatif, médico-social","Cura, medico-sociale","caritativ, provediment sanadad sociala"
10,"Kultur, Sport, Freizeit","Culture, sport, recreation","Culture, sports, loisirs","Cultura, sport, tempo libero","cultura, sport, temp liber"
11,"Andere Dienstleistungen","Other services","Diverses activités de service","Attività di servizio","divers servetschs"
12,"Energie und Wasser","Energy and water","Energie et eau","Energia e acqua","energia ed aua"
20,"Umweltschutz","Environmental protection","Protection environnement","Protezione dell'ambiente","protecziun da l'ambient"
1,"Landwirtschaft, Holzwirtschaft","Agriculture and forestry","Agriculture, économie du bois","Agricoltura, economia  forestale","agricultura, economia da laina"
22,"Gesundheit","Health","Santé","Sanità","sanadad"
18,"Interessen von Städten und Regionen","Towns' and regions' interests","Intérêts des villes et régions","Interessi delle città e regioni","interess da las citads e regiuns"
6,"Banken, Finanzen, Buchführung","Banks, finances and accounts","Banque, finance, comptabilité","Banca, finanza, contabilità","banca, finanzas, contabilitad"
25,"Transport (von Personen und Waren)","Transport (of people and goods)","Transport (personnes et marchandises)","Trasporti (persone e merci)","transport (persunas e rauba)"
14,"Schule, Bildung","Education","Enseignement, formation","Insegnamento, formazione","scolaziun, furmaziun"
17,"Information, Kommunikation, Medien","Information, communications, media","Information, communication, médias","Informazione, comunicazione, media","infurmaziun, communicaziun, medias"
24,"Tourismus, Gastwirtschaft","Tourism, hotels and restaurants","Tourisme, hôtellerie-restauration","Turismo, albergheria, ristorazione","turissem, hotellaria-restauraziun"
19,"Politische Organisationen","Political organisations","Organisations politiques","Organizzazioni politiche","organisaziuns politicas"
13,"Kinder, Jugend, Familie","Children, youth, families","Enfance, jeunesse, familles","Infanzia, gioventù, famiglia","uffants, giuventetgna, famiglia"
3,"Versicherung, Vorsorge","Insurance, precaution","Assurance, prévoyance","Assicurazione, previdenza","assicuranza, prevenziun"
2,"Arbeitgeber-, Berufsverbände","Employers' associations","Associations professionnelles, patronales","Associazioni professionali, padronali","associaziuns professiunalas, da patruns"
21,"Biologie, Medizinalforschung","Biological and medical research","Recherche biologique, médicale","Ricerca in biologia, medicina","retschertga biologia, medischina"
16,"Industrie","Industry","Industrie","Industria","industria"
15,"Immobilien","Real estate","Immobilier","Immobiliare","immobiglias"
9,"Bauwirtschaft","Construction","Construction","Costruzione","construcziun"
23,"Gewerkschaften","Unions","Syndicats","Sindacati","sindicats"
7,"Krankenkassen","Health insurers","Caisses-maladie","Cassa malati","cassas da malsauns"
5,"Anwälte, Notare","Lawyers","Avocats, notaires","Avvocati, notai","advocats, notars"
4,"Andere Interessen","Other interests","Autres intérêts","Altri interessi","auters interess"
