"parliamentarian_id","bill_id","political_action_categories_id"
15,"11.4164",1
15,"11.4164",7
15,"13.3350",1
15,"14.4240",9
15,"14.4240",13
15,"15.3299",1
15,"15.3299",4
15,"15.3299",7
26,"14.3233",13
26,"15.3304",8
26,"15.3304",18
26,"15.3305",4
26,"15.3305",9
28,"12.3151",21
28,"12.3227",10
28,"12.3396",4
28,"12.3396",10
28,"14.3703",20
28,"14.3777",10
28,"14.3777",16
91,"12.3912",4
91,"12.3912",7
91,"12.3912",9
91,"13.3174",21
91,"13.3578",21
91,"13.3579",21
91,"14.3196",21
91,"14.3555",20
91,"15.3312",2
91,"15.3312",13
173,"12.3229",20
173,"13.3111",6
173,"13.3111",9
173,"13.3111",20
173,"13.3176",13
173,"13.3301",2
173,"14.3178",13
173,"14.3178",17
173,"14.3318",13
173,"14.3318",17
173,"14.3534",21
214,"12.3301",9
214,"12.3303",16
214,"12.4260",13
214,"14.4248",16
224,"14.3497",3
224,"14.3497",18
224,"14.3785",2
224,"14.3785",20
307,"13.3648",4
307,"13.3648",7
307,"14.4265",1
307,"14.4265",19
319,"12.3180",12
319,"12.3180",19
319,"13.3525",16
319,"13.3525",19
319,"13.3725",16
319,"13.3932",12
319,"14.3156",20
350,"14.4076",13
350,"14.4076",19
354,"12.3256",4
354,"13.3225",7
354,"13.3560",4
354,"13.3560",9
354,"13.4287",4
354,"14.3143",5
354,"14.3370",3
405,"11.4078",6
405,"11.4103",13
405,"12.3197",10
405,"12.3604",10
405,"12.3606",16
405,"12.3606",20
405,"12.3607",16
405,"12.3607",20
405,"12.3608",16
405,"12.3608",20
405,"12.3908",17
405,"12.3908",17
405,"12.3917",10
405,"12.4211",20
405,"12.4236",5
405,"13.3177",4
405,"13.3178",4
405,"13.3178",14
405,"13.3533",9
405,"13.3534",20
405,"13.3874",10
405,"13.3881",16
405,"13.3881",20
405,"13.4045",20
405,"14.3338",13
405,"14.4234",5
405,"14.4235",8
405,"15.3114",2
405,"15.3114",5
409,"12.3243",9
409,"13.4179",9
453,"12.3630",2
453,"12.3630",21
453,"12.3809",1
453,"12.4112",8
453,"14.3768",3
453,"14.3768",5
473,"12.3559",1
473,"12.3561",4
473,"12.3562",4
473,"12.3562",9
473,"12.3755",16
473,"12.3755",20
473,"14.3503",1
473,"14.3503",10
478,"12.3213",1
478,"12.3213",8
478,"12.3214",21
478,"12.3270",21
478,"12.3328",9
478,"12.3328",10
478,"12.3586",9
478,"12.3586",13
478,"12.3587",9
478,"12.3587",16
478,"12.4022",13
478,"12.4228",1
478,"12.4256",13
478,"13.3208",13
478,"13.3208",17
478,"13.3208",17
478,"13.3209",19
478,"13.3210",16
478,"13.3918",9
478,"14.3636",1
478,"14.3636",13
478,"14.3639",10
