"parliamentarian_id","interest_categories_id","title"
15,1,"Schweizerischer Verband für Landtechnik (SVLT), Riniken"
15,1,"Schweizerische Hagel-Versicherungs-Gesellschaft, Zürich"
15,1,"Landwirtschaftskammer SBV, Brugg"
15,1,"Zürcher Bauernverband, Zürich"
15,1,"Waldwirtschaft Schweiz, Solothurn"
15,4,"Komitee ""Pro Flughafen"", Zürich"
15,8,"Alterszentrum Bruggwiesen, Effretikon"
15,10,"Stiftung Museum und historisches Material der schweizerischen Luftwaffe"
15,14,"Schulkommission Strickhof, Lindau"
15,22,"IG Rettungsdienst Region Winterthur"
15,24,"Alp Farner AG"
26,4,"Automobil Club der Schweiz (ACS) Mitte, Aarau"
26,7,"Groupe Mutuel, Groupe de réflexion santé"
26,10,"Neu Bechburg, Oensingen"
26,11,"Bosec Consulting GmbH, Kestenholz"
26,16,"Industrie- und Handelsverein Thal-Gäu-Bipperamt, Oensingen"
28,1,"Anton Bortoluzzi"
28,2,"Ostschweizerische Bürgschaftsgenossenschaft BG OST-SÜD"
28,3,"Vorsorgeforum"
28,4,"comparis.ch, Zürich"
28,6,"BG OST-SÜD Bürgschaftsgenossenschaft für KMU"
28,8,"Alfred Flury Stiftung"
28,8,"Jugend ohne Drogen"
28,8,"Stiftung generationplus, Oberlunkhofen"
28,9,"Hüppi AG, Zürich"
91,4,"Touring Club Schweiz (TCS)"
91,7,"Genossenschaft KPT/CPT Versicherungen, Bern"
91,7,"Genossenschaft KPT/CPT Krankenkasse, Bern"
91,7,"KPT Krankenkasse AG, Bern"
91,7,"KPT Versicherungen AG, Bern"
91,7,"KPT/CPT Holding AG, Bern"
91,17,"Online Easy AG, Bern"
91,22,"Auto-Strassenhilfe-Schweiz (ASS), Zofingen"
91,25,"ASTAG Aargau, Zofingen"
91,25,"ASTAG Schweiz (Politischer Beirat)"
91,25,"Giezendanner AG, Rothrist"
91,25,"Giezendanner Köln GmbH"
91,25,"Mittelland Transport (MLT) AG, Hunzenschwil"
91,25,"Recycling Transporte Waltenschwil (RTW)"
91,25,"Rollbeton Giezendanner AG, Rothrist"
97,4,"Europaïsches Institut für Initiativen + Referendum, Bülach"
97,4,"Association pour le centre de reflexion (ACROL), St-Ursanne"
97,4,"Demokratischer Verein Zürich-Unterland, Bülach"
97,10,"Edition le Doubs, St. Ursanne"
97,10,"Lieux de mémoire - dessein d'avenir Jurassien, St-Ursanne"
151,4,"DCAF (Geneva Centre for the Democratic Control of Armed Forces), Geneva"
151,4,"Offiziersgesellschaft beider Basel"
151,8,"Wohngemeinschaft für jung+alt, Maisprach"
151,12,"Energieforum Nordwestschweiz"
173,8,"SVS Schweizerischer Verband für Seniorenfragen"
173,8,"Vereinigung Aktiver Aargauer Senioren (VAAS), Widen"
173,9,"Kies und Beton AG (KBB), Birr"
173,9,"Kies und Beton AG (KBS), Schafisheim"
173,11,"MRG-Beratungs AG, Gipf-Oberfrick"
173,12,"Energieforum Nordwestschweiz"
214,4,"Aktion für eine unabhängige und neutrale Schweiz (AUNS)"
214,4,"Interessengemeinschaft Schweiz-Zweiter Weltkrieg"
214,8,"Schwiizer hälfed Schwiizer, Zürich"
214,10,"Antonie Deusser Stiftung, Zurzach"
214,17,"Förderverein Radio Argovia, Brugg"
224,4,"Association CasaBlanca Bern"
224,10,"Filmfestival von Locarno, Locarno  VR / M"
224,10,"Historisch-Antiquarische Kommission, Bern"
224,10,"Louise Blackborne-Stiftung"
224,14,"Executive Master of Public Administration, Bern (Fachbeirat) -"
224,18,"Behördendelegation Entwicklungsschwerpunkt ESP, Bern"
224,18,"Mairie de Berne"
224,18,"Schweizerischer Städteverband, Bern"
224,18,"Verein Hauptstadtregion Schweiz, Bern"
224,18,"Vereinigung für Bern, Bern"
224,20,"Stiftung Bärenpark, Bern"
224,21,"Schweizerische Stiftung für die Erforschung der Muskelkrankheiten, Cortaillod"
224,25,"Autoeinstellhalle Rathaus AG, Bern"
224,25,"Autoeinstellhalle Waisenhausplatz AG, Bern"
224,25,"BELWAG AG BERN Parking Casino, Bern"
224,25,"Einstellhalle Wankdorf-Allmend AG, Bern"
224,25,"Grosse Schanze AG, Bern"
307,4,"Verband Stahl-, Metall- und Papier-Recycling (VSMR) Schweiz, Bern"
307,4,"Churfirsten-Club"
307,10,"Ballenberg - Schweizerisches Freilichtmuseum für ländliche Kultur, Hofstetten bei Brienz"
307,10,"Josef Voegeli Stiftung für verunfallte Sportler, Lampenberg"
307,18,"Interessengemeinschaft Schweizer Bergprodukte"
307,19,"Stiftung für bürgerliche Politik, Zug"
307,19,"Stiftung SVP-Parteizeitung"
307,24,"Landgasthaus Sonne Wintersberg GmbH"
319,17,"Schweizerzeit Verlags AG, Flaach"
350,4,"Schatz der Schweiz"
350,4,"Scouts suisses"
350,8,"Entreprise sociale l'Orangerie"
350,10,"Les Croquettes, marionnettistes, Genève"
350,23,"Association du personnel de la Confédération"
350,23,"Union syndicale suisse"
354,3,"Ombudsman der Privatversicherung und der SUVA, Zürich"
354,8,"Pro Senectute Graubünden (Stiftungsversammlug)"
354,10,"Fondazione Internazionale per la Scultura, Lavizzara"
354,10,"Stiftung pro Kloster St. Johann, Müstair"
354,10,"Stiftung Schlossacker"
354,10,"Stiftung SoliWerk"
