"id","title.de","title.en","title.fr","title.it","title.ro"
4,"Wirtschaft","Economy","Economie","Economia","Economia"
9,"Finanzen","Finance","Finances","Finanza","Finanzas"
10,"Gesundheit","Health","Santé","Sanità","Sanadad"
16,"Recht","Law","Droit","Diritto","Dretg"
20,"Soziales","Social","Social","Sociale","Social"
13,"Institutionen","Institutions","Institutions","Istituzioni","Instituziuns"
21,"Transport","Transport","Transports","Trasporti","Transport"
1,"Landwirtschaft","Agriculture","Agriculture","Agricoltura","Agricultura"
6,"Energie","Energy","Energie","Energia","Energia"
7,"Umwelt","Environment","Environnement","Ambiente","Ambient"
19,"Sicherheit","Security","Sécurité","Sicurezza","Segirtad"
2,"Kommunikation","Communication","Communication","Comunicazioni","Communicaziun"
12,"Migration","Immigration","Immigration","Immigrazione","Immigraziun"
5,"Bildung","Education","Education","Educazione","Educaziun"
15,"Raumplanung","Land use","Aménagement du territoire","Territorio","Territori"
3,"Kultur","Culture","Culture","Cultura","Cultura"
14,"International","International","International","Internazionale","Internaziunal"
11,"Krankenversicherung","Health insurance","Assurance-maladie","Assicurazione malattia","Assicuranza da malsauns"
17,"Parlament","Parliament","Parlement","Parlamento","Parlament"
8,"Europa","Europe","Europe","Europa","Europa"
18,"Wissenschaft","Science","Sciences","Scienza","Scienza"
